SKU,LOC,FECHA,UNI
Art02,LOC_052,2019-06-23,21.0
Art02,LOC_053,2019-04-07,3.0
Art02,LOC_053,2019-04-14,7.0
Art02,LOC_053,2019-04-21,5.0
Art02,LOC_053,2019-04-28,12.0
Art02,LOC_053,2019-05-05,3.0
Art02,LOC_053,2019-05-12,8.0
Art02,LOC_053,2019-05-19,3.0
Art02,LOC_053,2019-05-26,8.0
Art02,LOC_053,2019-06-02,6.0
Art02,LOC_053,2019-06-09,7.0
Art02,LOC_053,2019-06-16,4.0
Art02,LOC_053,2019-06-23,11.0
Art02,LOC_054,2019-04-07,5.0
Art02,LOC_054,2019-04-14,10.0
Art02,LOC_054,2019-04-21,6.0
Art02,LOC_054,2019-04-28,3.0
Art02,LOC_054,2019-05-05,3.0
Art02,LOC_054,2019-05-12,9.0
Art02,LOC_054,2019-05-19,6.0
Art02,LOC_054,2019-05-26,3.0
Art02,LOC_054,2019-06-02,9.0
Art02,LOC_054,2019-06-09,7.0
Art02,LOC_054,2019-06-16,6.0
Art02,LOC_054,2019-06-23,6.0
Art02,LOC_055,2019-04-07,2.0
Art02,LOC_055,2019-04-14,3.0
Art02,LOC_055,2019-04-21,2.0
Art02,LOC_055,2019-04-28,4.0
Art02,LOC_055,2019-05-05,2.0
Art02,LOC_055,2019-05-12,0.0
Art02,LOC_055,2019-05-19,1.0
Art02,LOC_055,2019-05-26,4.0
Art02,LOC_055,2019-06-02,4.0
Art02,LOC_055,2019-06-09,6.0
Art02,LOC_055,2019-06-16,4.0
Art02,LOC_055,2019-06-23,2.0
Art02,LOC_056,2019-04-07,8.0
Art02,LOC_056,2019-04-14,7.0
Art02,LOC_056,2019-04-21,6.0
Art02,LOC_056,2019-04-28,4.0
Art02,LOC_056,2019-05-05,4.0
Art02,LOC_056,2019-05-12,13.0
Art02,LOC_056,2019-05-19,0.0
Art02,LOC_056,2019-05-26,4.0
Art02,LOC_056,2019-06-02,2.0
Art02,LOC_056,2019-06-09,6.0
Art02,LOC_056,2019-06-16,7.0
Art02,LOC_056,2019-06-23,5.0
Art02,LOC_057,2019-04-07,2.0
Art02,LOC_057,2019-04-14,4.0
Art02,LOC_057,2019-04-21,4.0
Art02,LOC_057,2019-04-28,5.0
Art02,LOC_057,2019-05-05,7.0
Art02,LOC_057,2019-05-12,3.0
Art02,LOC_057,2019-05-19,1.0
Art02,LOC_057,2019-05-26,4.0
Art02,LOC_057,2019-06-02,5.0
Art02,LOC_057,2019-06-09,4.0
Art02,LOC_057,2019-06-16,4.0
Art02,LOC_057,2019-06-23,5.0
Art02,LOC_058,2019-04-07,11.0
Art02,LOC_058,2019-04-14,8.0
Art02,LOC_058,2019-04-21,6.0
Art02,LOC_058,2019-04-28,5.0
Art02,LOC_058,2019-05-05,4.0
Art02,LOC_058,2019-05-12,8.0
Art02,LOC_058,2019-05-19,5.0
Art02,LOC_058,2019-05-26,1.0
Art02,LOC_058,2019-06-02,2.0
Art02,LOC_058,2019-06-09,1.0
Art02,LOC_058,2019-06-16,0.0
Art02,LOC_058,2019-06-23,0.0
Art02,LOC_059,2019-04-07,16.0
Art02,LOC_059,2019-04-14,11.0
Art02,LOC_059,2019-04-21,18.0
Art02,LOC_059,2019-04-28,12.0
Art02,LOC_059,2019-05-05,21.0
Art02,LOC_059,2019-05-12,15.0
Art02,LOC_059,2019-05-19,16.0
Art02,LOC_059,2019-05-26,16.0
Art02,LOC_059,2019-06-02,12.0
Art02,LOC_059,2019-06-09,10.0
Art02,LOC_059,2019-06-16,10.0
Art02,LOC_059,2019-06-23,8.0
Art02,LOC_060,2019-04-07,10.0
Art02,LOC_060,2019-04-14,9.0
Art02,LOC_060,2019-04-21,11.0
Art02,LOC_060,2019-04-28,7.0
Art02,LOC_060,2019-05-05,10.0
Art02,LOC_060,2019-05-12,11.0
Art02,LOC_060,2019-05-19,6.0
Art02,LOC_060,2019-05-26,14.0
Art02,LOC_060,2019-06-02,9.0
Art02,LOC_060,2019-06-09,6.0
Art02,LOC_060,2019-06-16,9.0
Art02,LOC_060,2019-06-23,7.0
Art02,LOC_061,2019-04-07,2.0
Art02,LOC_061,2019-04-14,2.0
Art02,LOC_061,2019-04-21,3.0
Art02,LOC_061,2019-04-28,3.0
Art02,LOC_061,2019-05-05,3.0
Art02,LOC_061,2019-05-12,1.0
Art02,LOC_061,2019-05-19,4.0
Art02,LOC_061,2019-05-26,2.0
Art02,LOC_061,2019-06-02,3.0
Art02,LOC_061,2019-06-09,3.0
Art02,LOC_061,2019-06-16,1.0
Art02,LOC_061,2019-06-23,4.0
Art02,LOC_062,2019-04-07,19.0
Art02,LOC_062,2019-04-14,11.0
Art02,LOC_062,2019-04-21,14.0
Art02,LOC_062,2019-04-28,13.0
Art02,LOC_062,2019-05-05,19.0
Art02,LOC_062,2019-05-12,16.0
Art02,LOC_062,2019-05-19,18.0
Art02,LOC_062,2019-05-26,17.0
Art02,LOC_062,2019-06-02,28.0
Art02,LOC_062,2019-06-09,29.0
Art02,LOC_062,2019-06-16,21.0
Art02,LOC_062,2019-06-23,35.0
Art02,LOC_063,2019-04-07,0.0
Art02,LOC_063,2019-04-14,2.0
Art02,LOC_063,2019-04-21,3.0
Art02,LOC_063,2019-04-28,0.0
Art02,LOC_063,2019-05-05,4.0
Art02,LOC_063,2019-05-12,1.0
Art02,LOC_063,2019-05-19,1.0
Art02,LOC_063,2019-05-26,4.0
Art02,LOC_063,2019-06-02,3.0
Art02,LOC_063,2019-06-09,7.0
Art02,LOC_063,2019-06-16,4.0
Art02,LOC_063,2019-06-23,7.0
Art02,LOC_064,2019-04-07,1.0
Art02,LOC_064,2019-04-14,3.0
Art02,LOC_064,2019-04-21,2.0
Art02,LOC_064,2019-04-28,1.0
Art02,LOC_064,2019-05-05,1.0
Art02,LOC_064,2019-05-12,2.0
Art02,LOC_064,2019-05-19,2.0
Art02,LOC_064,2019-05-26,6.0
Art02,LOC_064,2019-06-02,2.0
Art02,LOC_064,2019-06-09,3.0
Art02,LOC_064,2019-06-16,2.0
Art02,LOC_064,2019-06-23,1.0
Art02,LOC_065,2019-04-07,4.0
Art02,LOC_065,2019-04-14,4.0
Art02,LOC_065,2019-04-21,1.0
Art02,LOC_065,2019-04-28,3.0
Art02,LOC_065,2019-05-05,10.0
Art02,LOC_065,2019-05-12,5.0
Art02,LOC_065,2019-05-19,6.0
Art02,LOC_065,2019-05-26,3.0
Art02,LOC_065,2019-06-02,1.0
Art02,LOC_065,2019-06-09,3.0
Art02,LOC_065,2019-06-16,4.0
Art02,LOC_065,2019-06-23,14.0
Art02,LOC_066,2019-04-07,2.0
Art02,LOC_066,2019-04-14,6.0
Art02,LOC_066,2019-04-21,3.0
Art02,LOC_066,2019-04-28,5.0
Art02,LOC_066,2019-05-05,9.0
Art02,LOC_066,2019-05-12,10.0
Art02,LOC_066,2019-05-19,6.0
Art02,LOC_066,2019-05-26,7.0
Art02,LOC_066,2019-06-02,5.0
Art02,LOC_066,2019-06-09,5.0
Art02,LOC_066,2019-06-16,7.0
Art02,LOC_066,2019-06-23,7.0
Art02,LOC_067,2019-04-07,10.0
Art02,LOC_067,2019-04-14,13.0
Art02,LOC_067,2019-04-21,6.0
Art02,LOC_067,2019-04-28,7.0
Art02,LOC_067,2019-05-05,8.0
Art02,LOC_067,2019-05-12,5.0
Art02,LOC_067,2019-05-19,7.0
Art02,LOC_067,2019-05-26,9.0
Art02,LOC_067,2019-06-02,4.0
Art02,LOC_067,2019-06-09,9.0
Art02,LOC_067,2019-06-16,10.0
Art02,LOC_067,2019-06-23,6.0
Art02,LOC_068,2019-04-07,3.0
Art02,LOC_068,2019-04-14,6.0
Art02,LOC_068,2019-04-21,6.0
Art02,LOC_068,2019-04-28,4.0
Art02,LOC_068,2019-05-05,6.0
Art02,LOC_068,2019-05-12,8.0
Art02,LOC_068,2019-05-19,6.0
Art02,LOC_068,2019-05-26,3.0
Art02,LOC_068,2019-06-02,7.0
Art02,LOC_068,2019-06-09,4.0
Art02,LOC_068,2019-06-16,5.0
Art02,LOC_068,2019-06-23,6.0
Art02,LOC_069,2019-04-07,11.0
Art02,LOC_069,2019-04-14,10.0
