,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
3572,1.0,5.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,-0.0,-0.0,1.0
3573,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
3574,4.0,9.0,5.0,4.0,8.0,5.0,5.0,4.0,3.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0
3575,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
3576,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3577,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0
3578,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
3579,5.0,3.0,2.0,7.0,4.0,5.0,3.0,3.0,5.0,6.0,10.0,3.0,6.0,6.0,6.0,6.0
3580,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3581,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
3582,7.0,7.0,2.0,5.0,3.0,4.0,3.0,5.0,6.0,1.0,6.0,5.0,4.0,4.0,4.0,4.0
3583,2.0,7.0,7.0,1.0,5.0,4.0,11.0,4.0,5.0,10.0,5.0,8.0,8.0,8.0,9.0,9.0
3584,7.0,3.0,13.0,4.0,9.0,4.0,7.0,4.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0
3585,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
